N„–  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
1   |HD 5015                            |PM*|00 53 04.1958850619 +61 07 26.301822158| 5.43 | 5.34 | 4.80 | 4.32 | 4.02 |F9V                  | 205 |   0
2   |* nu. Sco                          |** |16 11 59.73568 -19 27 38.5361          | 3.42 | 4.05 | 4.00 | 3.90 | 3.87 |B2V                  | 356 |   0
3   |* pi.02 UMa                        |PM*|08 40 12.8204103814 +64 19 40.573003186| 6.94 | 5.78 | 4.61 | 3.72 | 3.09 |K1+III               | 147 |   1
4   |* tet Cen                          |PM*|14 06 40.94752 -36 22 11.8371          | 3.94 | 3.04 | 2.05 | 1.29 | 0.76 |K0-IIIb              | 238 |   0
5   |* del Cap                          |Al*|21 47 02.4442395 -16 07 38.233507      | 3.22 | 3.12 | 2.83 | 2.59 | 2.43 |kA5hF0mF2III         | 259 |   0
6   |* n Vel                            |*  |08 41 13.1296633773 -47 19 01.661000818| 5.01 | 4.89 | 4.77 | 4.56 | 4.37 |A5II                 |  46 |   0
7   |* eta Lup                          |*  |16 00 07.3278558 -38 23 48.151245      | 2.36 | 3.19 | 3.41 |     ~|     ~|B2.5IV               | 146 |   0
8   |* zet Hyi                          |PM*|02 45 32.6337977530 -67 36 59.832650544|     ~| 4.886| 4.820|     ~|     ~|A2IV/V               |  40 |   0
9   |* gam CMi                          |SB*|07 28 09.7930317295 +08 55 31.907956790| 7.26 | 5.73 | 4.30 | 3.19 | 2.40 |K3-IIIFe-0.5         |  95 |   0
10  |* gam Sct                          |*  |18 29 11.8538827 -14 33 56.931865      |     ~| 4.739| 4.675|     ~|     ~|A1IV/V               | 104 |   0
11  |* L01 Pup                          |a2*|07 13 13.3506332497 -45 10 57.858062088|     ~| 4.855| 4.874|     ~|     ~|B9V                  |  77 |   0
12  |* ome Sco                          |bC*|16 06 48.4269211 -20 40 09.090235      | 3.10 | 3.92 | 3.97 | 3.91 | 3.99 |B1V                  | 438 |   0
13  |* eta Oph B                        |*  |17 10 22.636800 -15 43 30.65592        |     ~| 3.36 | 3.26 |     ~|     ~|A3(V)                |   7 |   0
14  |* g Cen                            |LP*|13 49 26.7217509 -34 27 02.792908      | 7.15 | 5.69 | 4.19 | 2.06 | 0.19 |M5-III:              | 134 |   0
15  |HD 175535                          |SB*|18 53 13.5547782565 +50 42 29.784513125|     ~| 5.82 | 4.92 |     ~|     ~|G7IIIaFe-1           |  76 |   0
16  |* i Car                            |*  |09 11 16.7208929 -62 19 01.129500      | 3.13 | 3.774| 3.943|     ~|     ~|B3V                  | 103 |   0
17  |Cl Collinder 240                   |OpC|11 11 40.00 -60 18 35.0                |     ~| 4.23 | 3.9  |     ~|     ~|~                    |  25 |   0
18  |* alf Dor                          |a2*|04 33 59.77719 -55 02 41.9243          | 2.83 | 3.18 | 3.28 | 3.29 | 3.38 |B8IIIpSi             | 138 |   0
19  |* eps Mon                          |** |06 23 46.10 +04 35 34.2                |     ~| 4.51 | 4.30 |     ~|     ~|A7IV+F4V             |   7 |   0
20  |HD 10307                           |SB*|01 41 47.1431421954 +42 36 48.443521767| 5.69 | 5.58 | 4.96 | 4.43 | 4.10 |G1V                  | 468 |   0
21  |* nu. Eri                          |bC*|04 36 19.1414419 -03 21 08.856678      | 2.82 | 3.737| 3.928|     ~|     ~|B2III                | 366 |   0
22  |* ksi Cyg                          |SB*|21 04 55.8622910 +43 55 40.264460      | 7.17 | 5.39 | 3.73 | 2.55 | 1.63 |K4.5Ib-II            | 294 |   0
23  |* tet Aur                          |a2*|05 59 43.27012 +37 12 45.3047          | 2.36 | 2.54 | 2.62 | 2.62 | 2.68 |A0VpSi               | 264 |   0
24  |* k Car                            |*  |09 20 56.8132949358 -62 24 16.681094270|     ~| 5.733| 4.800|     ~|     ~|G6III                |  36 |   0
25  |* n Tau                            |PM*|05 19 16.6057541396 +22 05 47.432233812|     ~| 5.894| 4.948|     ~|     ~|G8III                | 102 |   0
26  |* eta CMa                          |s*b|07 24 05.70228 -29 18 11.1798          | 1.65 | 2.37 | 2.45 | 2.38 | 2.44 |B5Ia                 | 354 |   0
27  |* alf Psc A                        |*  |02 02 02.8219762236 +02 45 49.579059841|     ~| 4.06 | 4.11 |     ~|     ~|kA0hA7Sr             | 171 |   0
28  |HD 49878                           |PM*|07 00 04.0356116 +76 58 38.661833      |     ~| 5.916| 4.540|     ~|     ~|K4III                |  68 |   0
29  |* iot Boo                          |dS*|14 16 09.9303389767 +51 22 02.032771982| 5.01 | 4.95 | 4.75 | 4.60 | 4.51 |A7V                  | 151 |   0
30  |* tet Lup                          |*  |16 06 35.5467521011 -36 48 08.156046899| 3.36 | 4.027| 4.201|     ~|     ~|B2.5Vn               | 106 |   0
31  |* 6 Dra                            |SB*|12 34 44.0033748488 +70 01 18.418534032|     ~| 6.255| 4.946|     ~|     ~|K2.5IIIFe-2          |  52 |   0
32  |HD 84117                           |PM*|09 42 14.4165254340 -23 54 56.054079074|     ~| 5.47 | 4.94 |     ~|     ~|F9V                  | 177 |   0
33  |* c Per                            |Be*|04 08 39.6921578 +47 42 45.042937      | 3.45 | 4.00 | 4.03 | 3.91 | 3.93 |B3Ve                 | 366 |   0
34  |HD 103079                          |*  |11 51 51.22590 -65 12 21.2653          | 4.19 | 4.844| 4.992|     ~|     ~|B4V                  |  71 |   1
35  |* 69 Aql                           |PM*|20 29 38.9999549164 -02 53 07.917559356|     ~| 6.065| 4.900|     ~|     ~|K1/2III              |  73 |   0
36  |* bet Lac                          |** |22 23 33.6237466 +52 13 44.564655      | 6.26 | 5.46 | 4.44 | 3.67 | 3.10 |G9IIIbCa1            | 143 |   0
37  |* 47 Oph                           |SB*|17 26 37.8809423 -05 05 11.749992      | 4.90 | 4.93 | 4.54 | 4.16 | 3.95 |F3V                  | 148 |   0
38  |* mu. Tau                          |*  |04 15 32.0568707393 +08 53 32.491567629| 3.74 | 4.205| 4.279|     ~|     ~|B3IV                 | 136 |   0
39  |* b Cap                            |PM*|21 28 43.4007001 -21 48 25.850412      | 6.00 | 5.40 | 4.50 | 3.83 | 3.37 |G7IIIbFe-1           |  64 |   0
40  |* ksi Ori                          |SB*|06 11 56.3969311 +14 12 31.555546      | 3.65 | 4.31 | 4.48 | 4.53 | 4.69 |B3IV                 | 124 |   0
41  |* ups Peg                          |PM*|23 25 22.7835046 +23 24 14.760593      | 5.15 | 5.01 | 4.40 | 3.86 | 3.54 |F8III                | 239 |   0
42  |* eta Peg                          |SB*|22 43 00.1237213526 +30 13 16.027068152| 4.38 | 3.81 | 2.95 | 2.31 | 1.83 |G8II+F0V             | 186 |   0
43  |* mu. Gem                          |LP*|06 22 57.62686 +22 30 48.8979          | 6.37 | 4.51 | 2.87 | 1.30 |-0.08 |M3IIIab              | 366 |   1
44  |* 39 Cyg                           |SB*|20 23 51.6206989 +32 11 24.619097      | 7.27 | 5.77 | 4.44 | 3.43 | 2.76 |K2.5IIIFe-0.5        | 129 |   0
45  |* eps CrA                          |EB*|18 58 43.3840785329 -37 06 26.377252402|     ~| 5.19 | 4.83 |     ~|     ~|F4VFe-0.8+           | 190 |   0
46  |* psi Cen                          |PM*|14 20 33.4322870 -37 53 07.055140      | 3.91 | 4.006| 4.034| 6.13 | 8.45 |A0IV                 |  92 |   0
47  |* 36 Dor                           |PM*|05 54 06.0563264677 -63 05 23.196262583|     ~| 5.70 | 4.66 |     ~|     ~|K2III-IV             |  96 |   0
48  |* c02 Aqr                          |PM*|23 09 26.7968126 -21 10 20.681217      | 6.09 | 4.87 | 3.64 | 2.80 | 2.20 |K1.5III              |  94 |   0
49  |* f Eri A                          |PM*|03 48 35.8746163528 -37 37 12.543832624|     ~| 4.70 | 4.72 |     ~|     ~|B9.5Van              |  36 |   0
50  |* 30 Oph                           |PM*|17 01 03.6014177830 -04 13 21.530818176|     ~| 6.302| 4.812|     ~|     ~|K4III                |  78 |   0
51  |* 9 Boo                            |Ir*|13 56 34.1804386945 +27 29 31.485139001| 8.160| 6.440| 5.000|     ~|     ~|K3III                |  94 |   0
52  |* bet CrA                          |*  |19 10 01.7558032 -39 20 26.864359      |     ~| 5.281| 4.095|     ~|     ~|K0II/IIICNIb         |  50 |   0
53  |* o Per                            |*  |03 42 22.6455526 +33 57 54.089323      | 4.13 | 4.912| 4.972|     ~|     ~|B0.5V                | 280 |   0
54  |* del Tuc A                        |** |22 27 19.9679774154 -64 57 58.929483125|     ~| 4.48 | 4.49 | 6.29 |     ~|B9Vn                 |  62 |   0
55  |HD 98993                           |*  |11 23 12.6935388456 -36 09 53.146870959|     ~| 6.441| 4.991|     ~|     ~|K4III                |  20 |   0
56  |* b Vel                            |V* |08 40 37.5701711 -46 38 55.476997      | 4.86 | 4.52 | 3.81 | 3.16 | 2.62 |F0Ia                 | 126 |   0
57  |* 136 Tau                          |SB*|05 53 19.6460573 +27 36 44.137837      |     ~| 4.539| 4.552|     ~|     ~|A0V                  |  76 |   0
58  |* pi. And                          |SB*|00 36 52.8492565 +33 43 09.638398      | 3.65 | 4.20 | 4.36 | 4.40 | 4.52 |B5V                  | 187 |   0
59  |* ksi CrB                          |** |16 22 05.8235660072 +30 53 31.175905159|     ~| 5.833| 4.849|     ~|     ~|G9IIIFe-0.5          | 118 |   0
60  |* del Oph                          |PM*|16 14 20.73853 -03 41 39.5612          | 6.30 | 4.34 | 2.75 | 1.46 | 0.43 |M0.5III              | 344 |   0
61  |* eps Lib                          |SB*|15 24 11.8844845700 -10 19 20.142715459|     ~| 5.358| 4.920|     ~|     ~|F4V                  | 134 |   0
62  |* tet02 Cru                        |SB*|12 04 19.2222360016 -63 09 56.499404313| 4.02 | 4.613| 4.716|     ~|     ~|B3V                  |  93 |   0
63  |* iot UMa                          |** |08 59 12.45362 +48 02 30.5741          | 3.40 | 3.33 | 3.14 | 2.92 | 2.85 |A6                   | 283 |   0
64  |* eta And                          |SB*|00 57 12.4001825 +23 25 03.535627      | 6.05 | 5.36 | 4.42 | 3.69 | 3.21 |G8-III               | 179 |   0
65  |* ksi02 Cet                        |*  |02 28 09.5570589539 +08 27 36.216809306| 4.14 | 4.25 | 4.30 | 4.29 | 4.34 |B9III                | 308 |   0
66  |* zet Ori A                        |** |05 40 45.527143 -01 56 33.26036        |     ~| 1.79 | 1.88 |     ~|     ~|O9.2IbvarNwk         | 644 |   0
67  |* eta Gru                          |*  |22 45 37.8828532714 -53 30 00.440456552|     ~| 6.019| 4.846|     ~|     ~|K2IIICNIV            |  16 |   0
68  |* tau CMa                          |bL*|07 18 42.4864191 -24 57 15.741299      | 3.26 | 4.25 | 4.40 | 4.44 | 4.62 |O9II                 | 398 |   0
69  |* c Sgr                            |LP*|20 02 39.4809660 -27 42 35.444256      | 8.03 | 6.23 | 4.58 | 2.71 | 1.15 |M4.5III              |  68 |   0
70  |* eta Lep                          |PM*|05 56 24.2930042 -14 10 03.718884      | 4.05 | 4.05 | 3.72 | 3.39 | 3.23 |F2V                  | 317 |   0
71  |* 67 Oph                           |*  |18 00 38.7134668813 +02 55 53.595379606| 3.34 | 3.96 | 3.93 | 3.84 | 3.81 |B5I                  | 386 |   0
72  |IDS 15050-4822 AB                  |** |15 11 57.2 -48 44 23                   |     ~| 3.67 | 3.71 |     ~|     ~|B9                   |   1 |   0
73  |* alf Cas                          |PM*|00 40 30.4410679 +56 32 14.392170      | 4.52 | 3.40 | 2.23 | 1.45 | 0.85 |K0-IIIa              | 319 |   0
74  |* ksi Cas                          |SB*|00 42 03.8926969722 +50 30 45.071433667| 4.05 | 4.71 | 4.81 | 4.82 | 4.94 |B2V                  | 133 |   0
75  |HD 20644                           |*  |03 20 20.3611110 +29 02 54.445135      | 7.81 | 6.02 | 4.47 | 3.27 | 2.39 |K3IIIaBa0.5          | 116 |   0
76  |* alf02 CVn                        |a2*|12 56 01.6662171 +38 19 06.154110      | 2.44 | 2.76 | 2.88 | 2.98 | 3.05 |A0VpSiEu             | 640 |   0
77  |* bet Pyx                          |*  |08 40 06.1436306 -35 18 30.065139      |     ~| 4.885| 3.954|     ~|     ~|G5II/III             |  66 |   0
78  |* alf Eri                          |Be*|01 37 42.84548 -57 14 12.3101          |-0.36 | 0.30 | 0.46 | 0.49 | 0.60 |B6Vpe                | 445 |   0
79  |* kap Tuc                          |** |01 15 46.16226 -68 52 33.3356          |     ~| 4.73 | 4.25 | 4.82 |     ~|F6V+K1V              | 107 |   0
80  |* bet Hyi                          |PM*|00 25 45.07036 -77 15 15.2860          | 3.52 | 3.41 | 2.79 | 2.28 | 1.94 |G0V                  | 550 |   0
81  |* rho Ori A                        |SB*|05 13 17.4720955430 +02 51 40.463323540|     ~| 5.72 | 4.48 |     ~|     ~|~                    |  93 |   0
82  |* rho Cet                          |*  |02 25 57.0060377624 -12 17 25.697269517|     ~| 4.841| 4.866|     ~|     ~|A0V                  | 105 |   0
83  |* lam Vir                          |SB*|14 19 06.5923499 -13 22 15.945905      | 4.750| 4.660| 4.520|     ~| 4.43 |A1V                  | 139 |   0
84  |* omi Gem                          |PM*|07 39 09.9362454307 +34 35 03.480603218| 5.41 | 5.30 | 4.90 | 4.51 | 4.29 |F3III                |  94 |   0
85  |M 41                               |OpC|06 46 01.0 -20 45 24                   |     ~| 4.89 | 4.5  |     ~|     ~|~                    | 248 |   0
86  |* lam Ser                          |PM*|15 46 26.6144291449 +07 21 11.041647444| 5.13 | 5.03 | 4.42 | 3.92 | 3.60 |G0-V                 | 535 |   0
87  |* bet Ara                          |*  |17 25 17.9883527 -55 31 47.586765      | 5.87 | 4.31 | 2.85 |     ~|     ~|K0/1Ib               | 114 |   0
88  |* eps Car A                        |*  |08 22 30.833784 -59 30 34.13052        |     ~| 3.86 | 2.01 |     ~|     ~|K3:III               |   4 |   0
89  |* iot Ori                          |SB*|05 35 25.9819073 -05 54 35.643537      | 1.45 | 2.53 | 2.77 |     ~|     ~|O9IIIvar             | 731 |   0
90  |* eps Crv                          |PM*|12 10 07.4805825 -22 37 11.161983      | 5.79 | 4.32 | 2.98 | 2.05 | 1.41 |K2+IIIa              | 136 |   0
91  |* psi02 Aqr                        |Be*|23 17 54.2137206 -09 10 57.067524      | 3.72 | 4.26 | 4.40 | 4.47 | 4.60 |B7/8V                | 136 |   0
92  |* bet Cru                          |bC*|12 47 43.26877 -59 41 19.5792          | 0.03 | 1.02 | 1.25 | 1.38 | 1.64 |B1IV                 | 324 |   0
93  |* ksi02 CMa                        |*  |06 35 03.3885877089 -22 57 53.291338986|     ~| 4.49 | 4.50 |     ~|     ~|A0III                |  64 |   0
94  |* 27 CMa                           |Be*|07 14 15.2119175 -26 21 09.031206      | 3.76 | 4.45 | 4.65 | 4.64 | 4.73 |B4Ve_sh              | 220 |   0
95  |* eps Lup                          |SB*|15 22 40.8682566 -44 41 22.614637      | 2.46 | 3.191| 3.366|     ~|     ~|B2IV-V               | 156 |   0
96  |* omi Lup                          |** |14 51 38.3028905 -43 34 31.296546      | 3.59 | 4.164| 4.313|     ~|     ~|B5IV                 | 106 |   0
97  |TYC 5233-2298-1                    |*  |22 35 21.332 -00 07 02.53              |     ~| 3.94 | 4.03 |     ~|     ~|~                    |   2 |   0
98  |* 11 Ori                           |a2*|05 04 34.1491631 +15 24 14.777073      |     ~| 4.609| 4.661|     ~|     ~|A1VpSiCr             | 139 |   0
99  |* c Ori                            |Y*O|05 35 23.16427 -04 50 18.0881          | 3.46 | 4.40 | 4.59 | 4.67 | 4.85 |B1V                  | 195 |   0
100 |* zet Lup                          |PM*|15 12 17.0959556 -52 05 57.291916      | 4.99 | 4.33 | 3.41 |     ~|     ~|G8III                |  97 |   0
101 |HD 79186                           |s*b|09 11 04.3980185567 -44 52 04.441120785| 4.65 | 5.22 | 5.00 | 4.71 | 4.49 |B5Ia                 | 126 |   0
102 |* tet Per                          |PM*|02 44 11.9870420 +49 13 42.411120      | 4.62 | 4.62 | 4.11 | 3.67 | 3.37 |F8V                  | 381 |   0
103 |* rho Boo                          |PM*|14 31 49.7896173 +30 22 17.178087      | 6.33 | 4.89 | 3.59 | 2.67 | 2.02 |K3-III               | 245 |   0
104 |HD 172555                          |PM*|18 45 26.9004853 -64 52 16.539796      |     ~| 4.967| 4.767|     ~|     ~|A7V                  | 237 |   0
105 |* gam Lup B                        |PM*|15 35 08.378503 -41 10 00.36390        |     ~| 3.33 | 3.51 |     ~|     ~|~                    |   5 |   0
106 |* 30 Cyg                           |V* |20 13 18.0527162012 +46 48 56.409650765|     ~| 4.911| 4.819|     ~|     ~|A5IIIn               |  62 |   0
107 |* eps Tel                          |*  |18 11 13.7663563843 -45 57 15.935195251|     ~| 5.518| 4.508|     ~|     ~|K0III                |  33 |   0
108 |HD 123569                          |PM*|14 09 54.8147025371 -53 26 20.221981994|     ~| 5.675| 4.736|     ~|     ~|G9-III               |  34 |   0
109 |* kap UMa                          |** |09 03 37.52762 +47 09 23.4890          |     ~| 3.55 | 3.55 |     ~|     ~|A1Vn                 | 164 |   0
110 |* 2 Sex                            |PM*|09 38 27.2896235 +04 38 57.446110      | 7.45 | 6.00 | 4.68 | 3.62 | 2.91 |K3III                |  99 |   0
111 |NGC 2264                           |OpC|06 40 58.0 +09 53 42                   |     ~|     ~| 3.9  |     ~|     ~|~                    |1593 |   1
112 |* nu. Sco A                        |SB*|16 11 59.7333341001 -19 27 38.485190837|     ~| 4.359| 4.349|     ~|     ~|~                    |   9 |   0
113 |* d01 Pup                          |*  |07 39 27.3383375 -38 18 28.878559      | 3.99 | 4.65 | 4.84 | 4.92 | 5.08 |B3V                  |  94 |   0
114 |* tet01 Eri                        |PM*|02 58 15.6792190187 -40 18 16.845665573|     ~| 3.33 | 3.18 |     ~|     ~|A3IV-V               |  54 |   0
115 |* phi Vir                          |PM*|14 28 12.1387305861 -02 13 40.648944384|     ~| 5.522| 4.840|     ~|     ~|G2IV                 | 173 |   0
116 |* bet CVn                          |** |12 33 44.5448195 +41 21 26.924857      | 4.91 | 4.86 | 4.25 | 3.73 | 3.42 |G0V                  | 543 |   0
117 |RX J1724.2+6957                    |X  |17 24 17.12 +69 56 47.5                |     ~| 5.37 | 4.89 |     ~|     ~|~                    |   2 |   0
118 |HD 77912                           |Pe*|09 06 31.7685981338 +38 27 07.975612689|     ~| 5.567| 4.539|     ~|     ~|G7IIa                | 151 |   0
119 |* del PsA                          |*  |22 55 56.9002966182 -32 32 22.645655255|     ~| 5.172| 4.208|     ~|     ~|G8III                |  56 |   0
120 |* kap Cen                          |** |14 59 09.6849382 -42 06 15.106919      | 2.15 | 2.93 | 3.11 |     ~|     ~|B2IV                 | 190 |   0
121 |* eps Ser                          |PM*|15 50 48.9662218 +04 28 39.831153      |     ~| 3.844| 3.693|     ~|     ~|kA2hA5mA7V           | 181 |   0
122 |HD 216446                          |PM*|22 47 29.0612319148 +83 09 13.778790732|     ~| 6.04 | 4.78 |     ~|     ~|K3III                |  49 |   0
123 |* iot02 Sco                        |*  |17 50 11.1118094622 -40 05 25.555484675| 5.26 | 5.039| 4.803| 6.56 |     ~|A2Ib                 |  52 |   0
124 |* 68 Oph                           |** |18 01 45.1988377 +01 18 18.277526      |     ~| 4.453| 4.429|     ~|     ~|A0.5Van              | 141 |   0
125 |* 64 Eri                           |dS*|04 59 55.7373538642 -12 32 14.683584404|     ~| 5.036| 4.770|     ~|     ~|F0V                  |  78 |   0
126 |* tet02 Eri                        |PM*|02 58 16.4053309356 -40 18 16.900014010|     ~| 4.20 | 4.11 |     ~|     ~|A1V                  |  31 |   0
127 |* 111 Her                          |PM*|18 47 01.2324617275 +18 10 53.438109142| 4.56 | 4.49 | 4.36 | 4.19 | 4.13 |A5III                | 148 |   0
128 |* c02 Cen                          |*  |14 44 59.2017716710 -35 11 30.575001422|     ~| 4.927| 4.924|     ~|     ~|A0IVnn               |  56 |   0
129 |* 42 Peg                           |PM*|22 41 27.7207176 +10 49 52.907917      | 3.10 | 3.33 | 3.41 | 3.43 | 3.50 |B8V                  | 282 |   0
130 |* gam Ret                          |LP*|04 00 53.8085989 -62 09 33.425014      | 7.93 | 6.12 | 4.50 | 2.84 | 1.36 |M4III                |  59 |   0
131 |* gam Dor                          |gD*|04 16 01.5882311191 -51 29 11.919063290|     ~| 4.55 | 4.20 |     ~|     ~|F1V                  | 290 |   0
132 |HD 57821                           |*  |07 22 13.5290106 -19 00 59.764599      | 4.53 | 4.893| 4.950|     ~|     ~|B5II/III             |  58 |   0
133 |* 31 Cyg                           |Al*|20 13 37.9108031301 +46 44 28.738836638| 5.50 | 5.08 | 3.80 | 2.83 | 2.07 |K3Ib+B2IV-V          | 352 |   0
134 |* gam Cyg                          |V* |20 22 13.7018357 +40 15 24.044963      | 3.44 | 2.90 | 2.23 | 1.74 | 1.40 |F8Ib                 | 554 |   0
135 |* gam Oph                          |PM*|17 47 53.5597327 +02 42 26.199985      | 3.83 | 3.80 | 3.75 | 3.71 | 3.71 |A1VnkA0mA0           | 360 |   0
136 |* 10 LMi                           |RS*|09 34 13.3814384371 +36 23 51.216307794|     ~| 5.47 | 4.60 |     ~|     ~|G7.5IIIb             | 142 |   0
137 |* sig Pup                          |SB*|07 29 13.8304917 -43 18 05.159662      | 6.54 | 4.77 | 3.25 | 2.04 | 1.12 |K5III                | 120 |   0
138 |* alf Cam                          |s*b|04 54 03.0103983 +66 20 33.636467      | 3.47 | 4.34 | 4.29 | 4.18 | 4.18 |O9Ia                 | 636 |   1
139 |* kap Dra                          |Be*|12 33 28.9420577565 +69 47 17.633094524| 3.18 | 3.75 | 3.89 | 3.84 | 3.92 |B6IIIe               | 354 |   0
140 |* psi UMa                          |PM*|11 09 39.8086764 +44 29 54.552050      | 5.27 | 4.15 | 3.01 | 2.18 | 1.61 |K1III                | 261 |   0
141 |* alf Mic                          |*  |20 49 58.0767496899 -33 46 46.997429373|     ~| 5.879| 4.890|     ~|     ~|G8III                |  33 |   0
142 |* ome For                          |*  |02 33 50.7008117219 -28 13 56.389038738| 4.7  | 4.90 | 4.96 |     ~|     ~|B9Va                 |  59 |   0
143 |* alf Cen B                        |PM*|14 39 35.06311 -60 50 15.0992          | 2.89 | 2.21 | 1.33 |     ~|     ~|K1V                  | 897 |   1
144 |* 71 Tau                           |dS*|04 26 20.7730189928 +15 37 05.788526607|     ~| 4.758| 4.480| 5.96 | 4.15 |F0V                  | 208 |   0
145 |HD 102365                          |PM*|11 46 31.0719919710 -40 30 01.279976346| 5.65 | 5.55 | 4.88 | 4.35 | 3.97 |G2V                  | 288 |   1
146 |* mu. Dra                          |** |17 05 20.12403 +54 28 12.0994          |     ~| 5.40 | 4.92 |     ~|     ~|F6V+F6V              |  96 |   0
147 |* gam Equ                          |a2*|21 10 20.5001160337 +10 07 53.682085548| 5.03 | 4.94 | 4.68 | 4.43 | 4.32 |A9VpSrCrEu           | 514 |   0
148 |* mu.01 Sco                        |bL*|16 51 52.2156925062 -38 02 50.635416093| 1.98 | 2.82 | 2.98 |     ~|     ~|B1V+B                | 267 |   0
149 |* e Boo                            |SB*|13 49 42.8222337596 +21 15 50.857977842|     ~| 6.33 | 4.91 |     ~|     ~|K4III                |  78 |   0
150 |* bet Crt                          |SB*|11 11 39.4817199946 -22 49 33.045519470|     ~| 4.475| 4.449|     ~|     ~|A1V                  | 147 |   0
151 |* 58 Per                           |SB*|04 36 41.4301740 +41 15 53.321300      | 6.31 | 5.50 | 4.26 | 3.31 | 2.61 |K0II-III+B9V         | 113 |   0
152 |* 23 Com                           |** |12 34 51.0805791 +22 37 45.330256      |     ~| 4.773| 4.773|     ~|     ~|A0IV                 | 114 |   0
153 |* 4 Lac                            |*  |22 24 30.9907943432 +49 28 34.999228897| 4.33 | 4.67 | 4.58 | 4.45 | 4.35 |A0Ib                 | 171 |   0
154 |* omi Psc                          |PM*|01 45 23.6253260904 +09 09 27.912336751| 5.90 | 5.22 | 4.26 | 3.53 | 3.04 |G8III                | 146 |   0
155 |* iot Ser                          |** |15 41 33.0546906 +19 40 13.437985      |     ~| 4.563| 4.505|     ~|     ~|A1V                  | 182 |   0
156 |* del02 Gru                        |LP?|22 29 45.4340191 -43 44 57.196785      | 7.38 | 5.68 | 4.11 | 2.38 | 0.79 |M4.5IIIa             |  70 |   0
157 |* m Car                            |V* |09 39 20.9994838 -61 19 41.016686      |     ~| 4.432| 4.498|     ~|     ~|B9IV/V               |  72 |   0
158 |* del Hya                          |** |08 37 39.3696919549 +05 42 13.637427775|     ~| 4.144| 4.131|     ~| 4.12 |A0Vnn                | 119 |   0
159 |HD 172910                          |Pu*|18 44 19.3590068 -35 38 31.154592      | 3.97 | 4.69 | 4.87 | 5.02 | 5.18 |B2V                  |  84 |   1
160 |* bet Crv                          |PM*|12 34 23.2348393 -23 23 48.337453      | 4.17 | 3.52 | 2.64 | 2.03 | 1.59 |G5IIBa0.3            | 241 |   0
161 |* psi Oph                          |PM*|16 24 06.1846427 -20 02 14.378421      | 6.37 | 5.53 | 4.50 | 3.72 | 3.22 |K0-II-III            |  70 |   0
162 |* del03 Tau                        |a2*|04 25 29.38340 +17 55 40.4579          |     ~| 4.369| 4.298| 6.18 | 4.24 |A2IV-Vs              | 381 |   0
163 |* alf Her                          |** |17 14 38.85818 +14 23 25.2262          |     ~| 4.51 | 3.06 |     ~|     ~|M5Ib-II+G5III+F2V:   | 189 |   0
164 |HD 47667                           |*  |06 39 16.7196812036 -14 08 44.740183428|     ~| 6.289| 4.812|     ~|     ~|K2+IIIaCN0.5Ca1      |  62 |   0
165 |* q Tau                            |*  |03 45 12.4957802 +24 28 02.209730      | 3.73 | 4.19 | 4.30 | 4.30 | 4.40 |B6IV                 | 259 |   0
166 |* N Vel                            |V* |09 31 13.3189137 -57 02 03.757780      |     ~| 4.691| 3.139|     ~|     ~|K5III                |  88 |   0
167 |* tet Aql                          |SB*|20 11 18.2852804 -00 49 17.262642      | 3.03 | 3.15 | 3.22 | 3.29 | 3.33 |B9.5III              | 185 |   1
168 |* zet Leo                          |V* |10 16 41.4159679 +23 25 02.322080      | 3.89 | 3.72 | 3.41 | 3.09 | 2.91 |F0IIIa               | 216 |   0
169 |* psi01 Ori                        |Be*|05 24 44.8269466961 +01 50 47.202396831| 3.83 | 4.76 | 4.96 | 5.04 | 5.26 |B1Vn                 | 322 |   0
170 |* zet Ori                          |** |05 40 45.52666 -01 56 33.2649          |     ~| 1.59 | 1.79 |     ~|     ~|O9.7Ib+B0III         | 329 |   0
171 |* pi.06 Ori                        |V* |04 58 32.9027551398 +01 42 50.478494990|     ~| 5.853| 4.459|     ~|     ~|K2-IIb               | 121 |   0
172 |* rho Aql                          |PM*|20 14 16.6190578195 +15 11 51.374752540|     ~| 5.006| 4.946|     ~|     ~|A1Va                 | 117 |   0
173 |* sig Sco                          |bC*|16 21 11.3157134 -25 35 34.051476      | 2.32 | 3.02 | 2.89 | 1.69 | 1.58 |O9.5(V)+B7(V)        | 827 |   0
174 |* gam01 Del                        |PM*|20 46 38.8604459707 +16 07 26.851612726|     ~| 5.53 | 4.96 | 3.6  |     ~|F8V                  | 101 |   0
175 |HD 59890                           |*  |07 30 42.6024655264 -30 57 44.214195413| 6.21 | 5.58 | 4.65 | 3.98 | 3.51 |G2Iab/b              |  55 |   0
176 |* d Boo                            |SB*|14 10 23.9320799726 +25 05 30.021013287| 5.44 | 5.37 | 4.83 | 4.39 | 4.10 |F8V                  | 160 |   0
177 |* sig Hya                          |*  |08 38 45.4374649 +03 20 29.170097      | 6.91 | 5.63 | 4.43 | 3.54 | 2.98 |K1III                | 131 |   0
178 |* 34 Per                           |*  |03 29 22.05019 +49 30 32.2114          | 4.01 | 4.610| 4.735|     ~|     ~|B3V                  | 155 |   0
